cell_ID	tSNE1	tSNE2	cellType
CD34_Donor1_S1_BC0727_N01	20.79	-3.85	CD34
CD34_Donor1_S1_BC0728_N01	11.46	-18.37	CD34
CD34_Donor1_S1_BC0730_N01	-0.19	2.46	CD34
CD34_Donor1_S1_BC0732_N01	3.14	-9.07	CD34
CD34_Donor1_S1_BC0733_N01	16.59	-6.80	CD34
CD34_Donor1_S1_BC0734_N01	12.48	-2.21	CD34
CD34_Donor1_S1_BC0736_N01	25.72	-17.10	CD34
CD34_Donor1_S1_BC0737_N01	21.18	-0.55	CD34
CD34_Donor1_S1_BC0738_N01	-0.24	-32.07	CD34
CD34_Donor1_S1_BC0739_N01	13.37	-9.03	CD34
CD34_Donor1_S1_BC0740_N01	27.78	-4.31	CD34
CD34_Donor1_S1_BC0743_N01	4.29	-30.36	CD34
CD34_Donor1_S1_BC0747_N01	8.28	-29.95	CD34
CD34_Donor1_S1_BC0749_N01	15.30	-10.49	CD34
CD34_Donor1_S1_BC0750_N01	23.50	-12.35	CD34
CD34_Donor1_S1_BC0751_N01	23.02	-3.86	CD34
CD34_Donor1_S1_BC0752_N02	6.69	12.87	CD34
CD34_Donor1_S1_BC0754_N01	21.17	19.07	CD34
CD34_Donor1_S1_BC0755_N01	23.96	-12.04	CD34
CD34_Donor1_S1_BC0756_N01	17.71	-17.74	CD34
CD34_Donor1_S1_BC0758_N01	22.70	15.91	CD34
CD34_Donor1_S1_BC0759_N01	7.98	-9.96	CD34
CD34_Donor1_S1_BC0760_N01	-0.34	-31.90	CD34
CD34_Donor1_S1_BC0761_N01	4.65	-4.69	CD34
CD34_Donor1_S1_BC0762_N01	13.64	-11.98	CD34
CD34_Donor1_S1_BC0763_N01	11.85	-5.66	CD34
CD34_Donor1_S1_BC0764_N01	8.30	-4.15	CD34
CD34_Donor1_S1_BC0765_N01	20.23	-5.21	CD34
CD34_Donor1_S1_BC0767_N01	-3.41	5.36	CD34
CD34_Donor1_S1_BC0768_N01	5.20	-28.47	CD34
CD34_Donor1_S1_BC0769_N01	12.86	-16.57	CD34
CD34_Donor1_S1_BC0770_N01	14.45	-12.57	CD34
CD34_Donor1_S1_BC0771_N01	15.14	-10.85	CD34
CD34_Donor1_S1_BC0774_N01	14.69	-12.48	CD34
CD34_Donor1_S1_BC0775_N01	7.70	-30.36	CD34
CD34_Donor1_S1_BC0776_N01	23.48	4.21	CD34
CD34_Donor1_S1_BC0777_N01	6.94	-29.95	CD34
CD34_Donor1_S1_BC0779_N01	-3.15	5.39	CD34
CD34_Donor1_S1_BC0780_N01	3.25	-17.76	CD34
CD34_Donor1_S1_BC0781_N01	6.80	-26.08	CD34
CD34_Donor1_S1_BC0782_N01	18.52	-3.20	CD34
CD34_Donor1_S1_BC0784_N01	8.99	-15.37	CD34
CD34_Donor1_S1_BC0787_N01	2.26	-13.97	CD34
CD34_Donor1_S1_BC0788_N01	1.79	-31.41	CD34
CD34_Donor1_S1_BC0789_N01	1.64	-30.08	CD34
CD34_Donor1_S1_BC0790_N01	13.83	-12.82	CD34
CD34_Donor1_S1_BC0791_N01	21.08	17.57	CD34
CD34_Donor1_S1_BC0792_N01	23.71	-12.51	CD34
CD34_Donor1_S1_BC0793_N01	4.47	-32.53	CD34
CD34_Donor1_S1_BC0794_N01	9.84	-12.74	CD34
CD34_Donor1_S1_BC0795_N01	5.34	-27.13	CD34
CD34_Donor1_S1_BC0796_N01	3.01	-31.43	CD34
CD34_Donor1_S1_BC0797_N01	-3.59	5.58	CD34
CD34_Donor1_S1_BC0799_N02	9.97	-9.62	CD34
CD34_Donor1_S1_BC0800_N01	1.33	-32.53	CD34
CD34_Donor1_S1_BC0803_N01	11.78	-27.79	CD34
CD34_Donor1_S1_BC0804_N01	2.53	-2.06	CD34
CD34_Donor1_S1_BC0805_N02	20.96	-16.31	CD34
CD34_Donor1_S1_BC0810_N02	21.88	-12.47	CD34
CD34_Donor1_S1_BC0811_N01	6.68	-15.88	CD34
CD34_Donor1_S1_BC0812_N01	15.79	-17.93	CD34
CD34_Donor1_S1_BC0815_N01	23.32	-12.64	CD34
